episode,avg_waiting_time,avg_pedestrian_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
79,1430.9397222222221,0.0,80.76638888888888,0.0,-5151383.0,1277033.669861111,0.05,3600
80,1340.2427777777777,0.0,78.43,0.0,-4824874.0,1201517.746388889,0.05,3600
81,1363.7047222222222,0.0,79.07805555555555,0.0,-4909337.0,1186714.9692100694,0.05,3600
82,1400.6594444444445,0.0,80.55,0.0,-5042374.0,1160375.4172829862,0.05,3600
83,1317.253888888889,0.0,79.97111111111111,0.0,-4742114.0,1144529.705390625,0.05,3600
84,1399.9347222222223,0.0,79.14722222222223,0.0,-5039765.0,1135687.8350868055,0.05,3600
85,1378.183888888889,0.0,79.38916666666667,0.0,-4961462.0,1098765.9694965277,0.05,3600
86,1348.6775,0.0,79.6288888888889,0.0,-4855239.0,1095357.325625,0.05,3600
87,1348.6775,0.0,79.6288888888889,0.0,-4855239.0,1079769.8898090278,0.05,3600
88,1364.8519444444444,0.0,80.31583333333333,0.0,-4913467.0,1075959.093454861,0.05,3600
89,1431.9469444444444,0.0,80.72527777777778,0.0,-5155009.0,1107678.5323263889,0.05,3600
90,1378.411111111111,0.0,80.31416666666667,0.0,-4962280.0,1083664.7433203126,0.05,3600
91,1406.2711111111112,0.0002777777777777778,79.59527777777778,0.0,-5062577.0,1143203.2360503473,0.05,3600
92,1356.3258333333333,0.0,79.08361111111111,0.0,-4882773.0,1149402.4202430556,0.05,3600
93,1393.7669444444443,0.0,80.5325,0.0,-5017561.0,1134864.1679340277,0.05,3600
94,1338.1052777777777,0.0,80.15861111111111,0.0,-4817179.0,1172305.6293229167,0.05,3600
95,1439.9077777777777,0.0,80.89055555555555,0.0,-5183668.0,1138008.784140625,0.05,3600
96,1402.0272222222222,0.0,80.11555555555556,0.0,-5047298.0,1159686.4648654514,0.05,3600
97,1330.715,0.0,79.49472222222222,0.0,-4790574.0,1147755.0232899305,0.05,3600
98,1348.6775,0.0,79.6288888888889,0.0,-4855239.0,1163283.7389756944,0.05,3600
99,1362.1638888888888,0.0,79.45472222222222,0.0,-4903790.0,1182703.053029514,0.05,3600
100,1433.7697222222223,0.0,80.71,0.0,-5161571.0,1190781.2728038195,0.05,3600
