episode,avg_waiting_time,avg_pedestrian_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
35,72.13333333333334,0.018333333333333333,4.8225,0.0,-259746.0,469355.57197428384,0.33499999999737895,3600
36,75.92083333333333,0.0016666666666666668,4.892222222222222,0.0,-273321.0,623736.8736100261,0.3159999999974543,3600
37,83.02388888888889,0.005555555555555556,5.007777777777778,0.0,-298906.0,713585.4130192057,0.2969999999975297,3600
38,84.8,0.0019444444444444444,5.280277777777778,0.0,-305287.0,716585.6921934679,0.27799999999760505,3600
39,80.94777777777777,0.013888888888888888,5.14,0.0,-291462.0,965364.154945204,0.2589999999976804,3600
40,76.3236111111111,0.018333333333333333,4.820833333333334,0.0,-274831.0,1168690.4311577692,0.2399999999977032,3600
41,75.53416666666666,0.0005555555555555556,4.805555555555555,0.0,-271925.0,1703333.9980219183,0.22099999999767864,3600
42,81.25333333333333,0.0005555555555555556,4.91,0.0,-292514.0,1796797.3804134114,0.20199999999765408,3600
43,65.38333333333334,0.0033333333333333335,4.490277777777778,0.0,-235392.0,2402661.891388889,0.18299999999762953,3600
44,67.23555555555555,0.0,4.455,0.0,-242048.0,2637831.925206163,0.16399999999760498,3600
45,65.92888888888889,0.0011111111111111111,4.388055555555556,0.0,-237348.0,3182546.337075738,0.14499999999758043,3600
46,75.87805555555556,0.0016666666666666668,5.010277777777778,0.0,-273167.0,2497354.7244140627,0.12599999999755587,3600
47,63.181666666666665,0.002777777777777778,4.316944444444444,0.0,-227464.0,3336475.2708984376,0.10699999999753132,3600
48,65.46777777777778,0.0005555555555555556,4.392777777777778,0.0,-235686.0,4747330.519574652,0.08799999999750677,3600
49,71.11416666666666,0.0005555555555555556,4.578611111111111,0.0,-256013.0,6381264.26468316,0.06899999999748221,3600
50,64.68638888888889,0.0008333333333333334,4.491666666666666,0.0,-232874.0,5867516.342239583,0.05,3600
51,75.15083333333334,0.003611111111111111,4.744722222222222,0.0,-270556.0,6776544.644320747,0.05,3600
52,73.63361111111111,0.001388888888888889,4.704166666666667,0.0,-265086.0,8329449.799809027,0.05,3600
53,66.47722222222222,0.0016666666666666668,4.4286111111111115,0.0,-239324.0,10917246.540494792,0.05,3600
54,66.98194444444445,0.0075,4.521944444444444,0.0,-241162.0,12614113.522703992,0.05,3600
55,68.92694444444444,0.0019444444444444444,4.496666666666667,0.0,-248144.0,13937099.308953993,0.05,3600
56,83.10277777777777,0.0008333333333333334,5.0375,0.0,-299173.0,13190647.684375,0.05,3600
57,63.51555555555556,0.001388888888888889,4.488611111111111,0.0,-228661.0,16368409.427022569,0.05,3600
58,81.00888888888889,0.0008333333333333334,5.1322222222222225,0.0,-291635.0,21206052.759392362,0.05,3600
59,71.98638888888888,0.0005555555555555556,4.588333333333333,0.0,-259153.0,25265570.047925346,0.05,3600
60,69.66722222222222,0.0011111111111111111,4.534166666666667,0.0,-250806.0,27198844.065112848,0.05,3600
61,70.44972222222222,0.0025,4.640833333333333,0.0,-253628.0,30424347.011527777,0.05,3600
62,72.84222222222222,0.0019444444444444444,4.598888888888889,0.0,-262239.0,35159308.84470486,0.05,3600
63,75.98583333333333,0.0044444444444444444,4.792777777777777,0.0,-273565.0,39264570.05321181,0.05,3600
64,65.76194444444444,0.010833333333333334,4.447222222222222,0.0,-236782.0,36879816.83076389,0.05,3600
65,67.38527777777777,0.0005555555555555556,4.624444444444444,0.0,-242589.0,43409441.329166666,0.05,3600
66,73.02583333333334,0.0011111111111111111,4.81,0.0,-262897.0,48577878.280173615,0.05,3600
67,69.54472222222222,0.0022222222222222222,4.616666666666666,0.0,-250369.0,69730760.92840278,0.05,3600
68,72.83694444444444,0.012222222222222223,4.676944444444445,0.0,-262257.0,67605458.04416667,0.05,3600
69,73.18555555555555,0.010555555555555556,4.82,0.0,-263506.0,75886595.15048611,0.05,3600
70,69.41388888888889,0.0002777777777777778,4.638888888888889,0.0,-249891.0,81020676.00868055,0.05,3600
71,64.92083333333333,0.0022222222222222222,4.3244444444444445,0.0,-233723.0,87645390.15458333,0.05,3600
72,68.785,0.0008333333333333334,4.544444444444444,0.0,-247629.0,82185063.32083334,0.05,3600
73,65.95555555555555,0.0022222222222222222,4.35,0.0,-237448.0,91936972.88583334,0.05,3600
74,73.30722222222222,0.0016666666666666668,4.740555555555556,0.0,-263912.0,85495861.73375,0.05,3600
75,67.35583333333334,0.001388888888888889,4.491944444444444,0.0,-242486.0,81940069.86972222,0.05,3600
76,66.15416666666667,0.0016666666666666668,4.404444444444445,0.0,-238161.0,104367251.29784723,0.05,3600
77,75.9486111111111,0.0022222222222222222,4.855277777777777,0.0,-273423.0,102254385.24597222,0.05,3600
78,63.764722222222225,0.06333333333333334,4.350833333333333,0.0,-229781.0,126627823.06208333,0.05,3600
79,74.52944444444445,0.002777777777777778,4.813888888888889,0.0,-268316.0,110182466.70180556,0.05,3600
80,62.4275,0.001388888888888889,4.2747222222222225,0.0,-224744.0,146573717.30340278,0.05,3600
81,73.51083333333334,0.005,4.773888888888889,0.0,-264657.0,190809621.68243057,0.05,3600
82,73.6425,0.0038888888888888888,4.740555555555556,0.0,-265127.0,179203449.64840278,0.05,3600
83,70.08972222222222,0.0008333333333333334,4.576388888888889,0.0,-252326.0,210430904.744375,0.05,3600
84,72.30638888888889,0.04722222222222222,4.646111111111111,0.0,-260473.0,210533211.8804861,0.05,3600
85,69.04138888888889,0.04694444444444444,4.4991666666666665,0.0,-248718.0,231306263.86125,0.05,3600
86,76.54388888888889,0.0022222222222222222,4.847777777777778,0.0,-275566.0,272094109.21208334,0.05,3600
87,73.48277777777778,0.0011111111111111111,4.681666666666667,0.0,-264542.0,311212740.5422222,0.05,3600
88,65.76194444444444,0.010833333333333334,4.447222222222222,0.0,-236782.0,396468685.6447222,0.05,3600
89,77.88083333333333,0.0005555555555555556,4.775277777777778,0.0,-280373.0,397751252.5477778,0.05,3600
90,139.09916666666666,0.0011111111111111111,6.660277777777778,0.0,-500761.0,435096085.0902778,0.05,3600
91,152.95833333333334,0.0019444444444444444,7.381666666666667,0.0,-550657.0,579849313.8688889,0.05,3600
92,300.05916666666667,0.0022222222222222222,11.964722222222223,0.0,-1080221.0,587877204.9641666,0.05,3600
93,259.37361111111113,0.0008333333333333334,10.629166666666666,0.0,-933748.0,804768127.0691667,0.05,3600
94,110.89916666666667,0.001388888888888889,5.991388888888889,0.0,-399242.0,1085709065.2761111,0.05,3600
95,91.18527777777778,0.0044444444444444444,5.320833333333334,0.0,-328283.0,1127851777.335,0.05,3600
96,62.07888888888889,0.0044444444444444444,4.301944444444445,0.0,-223500.0,1251254489.5966666,0.05,3600
97,83.04666666666667,0.011666666666666667,5.094444444444444,0.0,-299010.0,1599224902.2444444,0.05,3600
98,77.08555555555556,0.0002777777777777778,4.770555555555555,0.0,-277509.0,2074227777.3377779,0.05,3600
99,86.63694444444444,0.020833333333333332,5.0377777777777775,0.0,-311968.0,2418733942.9522223,0.05,3600
100,70.92222222222222,0.005555555555555556,4.612777777777778,0.0,-255340.0,3010147288.3233333,0.05,3600
