episode,avg_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
23,17.73138888888889,2.381388888888889,0.0,-63835.0,4462.613365410699,0.5629999999971371,3600
24,16.65972222222222,2.2705555555555557,0.0,-59991.0,3908.88424943712,0.5439999999970127,3600
25,16.739722222222223,2.2941666666666665,0.0,-60278.0,3932.381077304416,0.5249999999968882,3600
26,17.53,2.3655555555555554,0.0,-63110.0,3693.2061494106715,0.5059999999967637,3600
27,16.733888888888888,2.306111111111111,0.0,-60246.0,3272.8092969767254,0.486999999996776,3600
28,17.30666666666667,2.365,0.0,-62308.0,3237.721216990153,0.4679999999968514,3600
29,17.063055555555554,2.3244444444444445,0.0,-61447.0,3098.879029473199,0.44899999999692675,3600
30,17.169166666666666,2.3455555555555554,0.0,-61812.0,3098.0061640591093,0.4299999999970021,3600
31,17.266666666666666,2.354722222222222,0.0,-62163.0,2896.239925367567,0.4109999999970775,3600
32,17.12638888888889,2.3580555555555556,0.0,-61661.0,2788.9624341837566,0.39199999999715285,3600
33,16.753333333333334,2.3016666666666667,0.0,-60327.0,2985.371106991238,0.3729999999972282,3600
34,16.904166666666665,2.3216666666666668,0.0,-60858.0,2988.799726698134,0.3539999999973036,3600
35,17.28527777777778,2.3505555555555557,0.0,-62231.0,2889.4859212409124,0.33499999999737895,3600
36,17.740833333333335,2.4122222222222223,0.0,-63870.0,3108.2070411512586,0.3159999999974543,3600
37,17.39,2.387777777777778,0.0,-62608.0,3227.2431675211587,0.2969999999975297,3600
38,18.066388888888888,2.4208333333333334,0.0,-65043.0,3287.6898548550075,0.27799999999760505,3600
39,17.67388888888889,2.4141666666666666,0.0,-63631.0,3479.7287189568415,0.2589999999976804,3600
40,17.481666666666666,2.3741666666666665,0.0,-62935.0,3381.2855794101292,0.2399999999977032,3600
41,17.54611111111111,2.3825,0.0,-63170.0,3681.563701646593,0.22099999999767864,3600
42,18.015,2.4466666666666668,0.0,-64856.0,4007.7056660461426,0.20199999999765408,3600
43,18.101666666666667,2.4566666666666666,0.0,-65168.0,4144.032300465901,0.18299999999762953,3600
44,16.730555555555554,2.3361111111111112,0.0,-60231.0,4248.900377807618,0.16399999999760498,3600
45,16.78,2.3441666666666667,0.0,-60425.0,3932.832342325846,0.14499999999758043,3600
46,18.059166666666666,2.4544444444444444,0.0,-65015.0,3982.0030168321396,0.12599999999755587,3600
47,17.185,2.38,0.0,-61871.0,3854.0855997043186,0.10699999999753132,3600
48,16.540555555555557,2.3080555555555557,0.0,-59554.0,4073.2753140936957,0.08799999999750677,3600
49,16.26888888888889,2.2733333333333334,0.0,-58573.0,4237.773843315972,0.06899999999748221,3600
50,16.504166666666666,2.292777777777778,0.0,-59420.0,4160.119559088813,0.05,3600
51,16.699166666666667,2.3205555555555555,0.0,-60118.0,3928.375425347222,0.05,3600
52,16.539722222222224,2.303888888888889,0.0,-59548.0,3684.3498027208116,0.05,3600
53,16.454166666666666,2.299166666666667,0.0,-59241.0,3485.563176896837,0.05,3600
54,16.43,2.2933333333333334,0.0,-59167.0,3707.492713538276,0.05,3600
55,16.85611111111111,2.3344444444444443,0.0,-60686.0,3133.655496843126,0.05,3600
56,16.391944444444444,2.2866666666666666,0.0,-59017.0,3104.469888136122,0.05,3600
57,16.534444444444443,2.3183333333333334,0.0,-59528.0,2827.308858049181,0.05,3600
58,16.78611111111111,2.319722222222222,0.0,-60437.0,2984.693154449463,0.05,3600
59,16.370833333333334,2.297222222222222,0.0,-58944.0,2893.2367407735187,0.05,3600
60,16.468888888888888,2.3002777777777776,0.0,-59291.0,2631.2413101026746,0.05,3600
61,16.715,2.3216666666666668,0.0,-60180.0,2740.6746907891165,0.05,3600
62,16.84777777777778,2.3336111111111113,0.0,-60657.0,2560.0474932352704,0.05,3600
63,16.705277777777777,2.326111111111111,0.0,-60146.0,2458.7736845058866,0.05,3600
64,15.310555555555556,2.1858333333333335,0.0,-55124.0,2367.760603434245,0.05,3600
65,16.678333333333335,2.316666666666667,0.0,-60053.0,2440.092291836209,0.05,3600
66,16.133055555555554,2.2591666666666668,0.0,-58094.0,2506.7744873894585,0.05,3600
67,16.81111111111111,2.3338888888888887,0.0,-60524.0,2829.6858179050023,0.05,3600
68,16.83361111111111,2.3361111111111112,0.0,-60605.0,2961.6992893134225,0.05,3600
69,17.09027777777778,2.3625,0.0,-61529.0,2727.495845506456,0.05,3600
70,16.89361111111111,2.3377777777777777,0.0,-60819.0,2871.3744830322266,0.05,3600
71,17.0475,2.3433333333333333,0.0,-61376.0,3343.7868141682943,0.05,3600
72,16.682222222222222,2.3230555555555554,0.0,-60057.0,3498.8904721747504,0.05,3600
73,16.162222222222223,2.268611111111111,0.0,-58189.0,3496.0289521959094,0.05,3600
74,16.08416666666667,2.2519444444444443,0.0,-57907.0,3230.648102654351,0.05,3600
75,15.962222222222222,2.2111111111111112,0.0,-57467.0,3067.2890351698134,0.05,3600
76,17.985555555555557,2.450277777777778,0.0,-64760.0,3133.8219833374023,0.05,3600
77,15.399444444444445,2.17,0.0,-55440.0,3105.468276570638,0.05,3600
78,16.42388888888889,2.298888888888889,0.0,-59127.0,3205.4353539530434,0.05,3600
79,16.786666666666665,2.336388888888889,0.0,-60436.0,3437.695767127143,0.05,3600
80,16.34861111111111,2.278611111111111,0.0,-58861.0,3504.5442113410104,0.05,3600
81,15.703611111111112,2.1863888888888887,0.0,-56539.0,3530.3571862284343,0.05,3600
82,16.884444444444444,2.343888888888889,0.0,-60794.0,3416.272476264106,0.05,3600
83,16.147222222222222,2.2736111111111112,0.0,-58154.0,3382.479409857856,0.05,3600
84,16.21361111111111,2.267777777777778,0.0,-58373.0,3740.7385009596082,0.05,3600
85,17.74,2.4183333333333334,0.0,-63869.0,3592.3769672648114,0.05,3600
86,16.113888888888887,2.2591666666666668,0.0,-58015.0,3626.0991326056587,0.05,3600
87,15.438611111111111,2.1869444444444444,0.0,-55595.0,3459.192205166287,0.05,3600
88,16.568055555555556,2.2975,0.0,-59651.0,3369.6922936672636,0.05,3600
89,16.780555555555555,2.325,0.0,-60412.0,3401.456923845079,0.05,3600
90,16.214444444444446,2.261388888888889,0.0,-58381.0,3622.669500969781,0.05,3600
91,16.9575,2.3425,0.0,-61048.0,3896.9532686360676,0.05,3600
92,16.514166666666668,2.2936111111111113,0.0,-59455.0,3867.5948019070097,0.05,3600
93,16.838055555555556,2.327777777777778,0.0,-60622.0,3923.155617964003,0.05,3600
94,16.665,2.3158333333333334,0.0,-59999.0,3985.1462513224283,0.05,3600
95,16.413333333333334,2.2844444444444445,0.0,-59096.0,4015.0685024176705,0.05,3600
96,16.515833333333333,2.3,0.0,-59458.0,4285.424380238851,0.05,3600
97,16.55472222222222,2.3008333333333333,0.0,-59599.0,4229.275324401856,0.05,3600
98,16.366666666666667,2.299166666666667,0.0,-58921.0,4279.737936706543,0.05,3600
99,17.034444444444443,2.346388888888889,0.0,-61326.0,4206.440665249294,0.05,3600
100,16.448055555555555,2.285833333333333,0.0,-59217.0,4682.4301364135745,0.05,3600
