episode,avg_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
1,18.020833333333332,2.3919444444444444,0.0,-64878.0,544.2195208762236,0.9809999999998755,3600
2,17.269166666666667,2.297222222222222,0.0,-62172.0,1945.9038917456733,0.961999999999751,3600
3,16.17388888888889,2.2041666666666666,0.0,-58247.0,3359.8856127421063,0.9429999999996266,3600
4,17.62472222222222,2.3113888888888887,0.0,-63452.0,4235.8886300998265,0.9239999999995021,3600
5,17.709722222222222,2.2977777777777777,0.0,-63764.0,4789.159932217068,0.9049999999993776,3600
6,19.13,2.4775,0.0,-68879.0,5148.997192755805,0.8859999999992532,3600
7,17.976666666666667,2.431111111111111,0.0,-64717.0,5593.5443065389,0.8669999999991287,3600
8,18.591944444444444,2.4625,0.0,-66940.0,5671.952874247233,0.8479999999990042,3600
9,19.23361111111111,2.4775,0.0,-69243.0,5299.907992672391,0.8289999999988797,3600
10,19.355,2.5125,0.0,-69681.0,5771.021545206706,0.8099999999987553,3600
11,16.442222222222224,2.289722222222222,0.0,-59200.0,5801.337178785536,0.7909999999986308,3600
12,18.02638888888889,2.4380555555555556,0.0,-64912.0,5421.678386366102,0.7719999999985063,3600
13,18.775,2.4844444444444442,0.0,-67596.0,4966.397755771213,0.7529999999983819,3600
14,18.412222222222223,2.5036111111111112,0.0,-66288.0,5256.37861501058,0.7339999999982574,3600
15,18.645,2.5130555555555554,0.0,-67137.0,5761.304665052626,0.7149999999981329,3600
16,17.456666666666667,2.3519444444444444,0.0,-62849.0,5905.060472988553,0.6959999999980084,3600
17,16.864444444444445,2.3113888888888887,0.0,-60717.0,5840.385475006104,0.676999999997884,3600
18,17.454444444444444,2.3808333333333334,0.0,-62836.0,5662.2080109998915,0.6579999999977595,3600
19,18.805833333333332,2.5116666666666667,0.0,-67710.0,5744.0072796800405,0.638999999997635,3600
20,16.47888888888889,2.243611111111111,0.0,-59334.0,5984.031941867404,0.6199999999975105,3600
21,16.919722222222223,2.2977777777777777,0.0,-60913.0,5885.875649702284,0.6009999999973861,3600
22,16.563333333333333,2.287777777777778,0.0,-59630.0,5173.643418053521,0.5819999999972616,3600
